变量名,类型/位号,读位置,写位置,用途推断,相关轴号,风险说明
AnologHomeSignalMedian,global real,1st.prg:23;1st.prg:721;1st.prg:1940;1st.prg:2633;1st.prg:3326;1st.prg:4019;1st.prg:4712;1st.prg:5405;1st.prg:10572;1st.prg:10624;1st.prg:10627;1st.prg:10631;1st.prg:10634;1st.prg:10639;1st.prg:10642;1st.prg:10647;1st.prg:10650,1st.prg:620;1st.prg:1227;1st.prg:2537;1st.prg:3230;1st.prg:3923;1st.prg:4616;1st.prg:5309;1st.prg:6002;1st.prg:10577,通用控制变量,,中
ArmExtMax,global real,1st.prg:8213;1st.prg:8852,1st.prg:9279;1st.prg:9291;1st.prg:9303;1st.prg:9316;1st.prg:9322,通用控制变量,,中
ArmExtMin,global real,1st.prg:8213;1st.prg:8852,1st.prg:9280;1st.prg:9292;1st.prg:9304;1st.prg:9317;1st.prg:9323,通用控制变量,,中
AvgFilterPole,local int,1st.prg:7830;1st.prg:7847;1st.prg:7855;1st.prg:7856;1st.prg:7857;1st.prg:7858;1st.prg:7873;1st.prg:7881;1st.prg:7882;1st.prg:7883;1st.prg:7884;1st.prg:7894;1st.prg:7898;1st.prg:7909;1st.prg:7913;1st.prg:7925;1st.prg:7929;1st.prg:7940;1st.prg:7944,1st.prg:7838,局部计算/临时变量,,低
AxisAcc0,global real tag 1085,1st.prg:11522,1st.prg:8617;1st.prg:9546,运动参数/速度曲线,0,高
AxisAcc1,global real tag 1285,1st.prg:11604,1st.prg:8726;1st.prg:9580,运动参数/速度曲线,1,高
AxisAcc2,global real tag 1185,1st.prg:11563,1st.prg:8750;1st.prg:9594,运动参数/速度曲线,2,高
AxisAcc3,global real tag 1385,1st.prg:11644,1st.prg:9609,运动参数/速度曲线,3,高
AxisAcc4,global real tag 1485,1st.prg:11684,1st.prg:9624,运动参数/速度曲线,4,高
AxisAcc5,global real tag 1685,1st.prg:11762,1st.prg:9640,运动参数/速度曲线,5,高
AxisAcc6,global real tag 1585,1st.prg:11723,1st.prg:9657,运动参数/速度曲线,6,高
AxisAcc7,global real tag 1785,1st.prg:11801,1st.prg:9674,运动参数/速度曲线,7,高
AxisDec0,global real tag 1084,1st.prg:11521,1st.prg:8616;1st.prg:9545,运动参数/速度曲线,0,高
AxisDec1,global real tag 1284,1st.prg:11603,1st.prg:8725;1st.prg:9579,运动参数/速度曲线,1,高
AxisDec2,global real tag 1184,1st.prg:11562,1st.prg:8749;1st.prg:9593,运动参数/速度曲线,2,高
AxisDec3,global real tag 1384,1st.prg:11643,1st.prg:9608,运动参数/速度曲线,3,高
AxisDec4,global real tag 1484,1st.prg:11683,1st.prg:9623,运动参数/速度曲线,4,高
AxisDec5,global real tag 1684,1st.prg:11761,1st.prg:9639,运动参数/速度曲线,5,高
AxisDec6,global real tag 1584,1st.prg:11722,1st.prg:9656,运动参数/速度曲线,6,高
AxisDec7,global real tag 1784,1st.prg:11800,1st.prg:9673,运动参数/速度曲线,7,高
AxisInfo,unknown unknown,1st.prg:8650;1st.prg:8787;1st.prg:8849;1st.prg:9510;1st.prg:9528;1st.prg:9529;1st.prg:9530;1st.prg:9531;1st.prg:9532;1st.prg:9534;1st.prg:9535;1st.prg:9536;1st.prg:9537;1st.prg:9538,1st.prg:8630;1st.prg:8631;1st.prg:8632;1st.prg:8633;1st.prg:8634;1st.prg:8635;1st.prg:8639;1st.prg:8640;1st.prg:8641;1st.prg:8642;1st.prg:8643;1st.prg:8644;1st.prg:8645;1st.prg:8646;1st.prg:8647;1st.prg:8648;1st.prg:8649;1st.prg:8732;1st.prg:8733;1st.prg:8734;1st.prg:8735;1st.prg:8736;1st.prg:8756;1st.prg:8757;1st.prg:8758;1st.prg:8759;1st.prg:8760;1st.prg:8772;1st.prg:8773;1st.prg:8774;1st.prg:8775;1st.prg:8776;1st.prg:8780;1st.prg:8781;1st.prg:8782;1st.prg:8783;1st.prg:8784;1st.prg:8785;1st.prg:8786;1st.prg:9490;1st.prg:9491;1st.prg:9492;1st.prg:9493;1st.prg:9494;1st.prg:9495;1st.prg:9499;1st.prg:9500;1st.prg:9501;1st.prg:9502;1st.prg:9503;1st.prg:9504;1st.prg:9505;1st.prg:9506;1st.prg:9507;1st.prg:9508;1st.prg:9509;1st.prg:9518;1st.prg:9519;1st.prg:9520;1st.prg:9521;1st.prg:9522;1st.prg:9523;1st.prg:9524;1st.prg:9525,通用控制变量,,中
AxisLog,unknown unknown,1st.prg:8850,1st.prg:8627;1st.prg:8628;1st.prg:8629;1st.prg:8730;1st.prg:8731;1st.prg:8754;1st.prg:8755;1st.prg:8771;1st.prg:9483;1st.prg:9484;1st.prg:9485,通用控制变量,,中
AxisNum,local int,1st.prg:8868;1st.prg:9980;1st.prg:9981;1st.prg:9982;1st.prg:9983;1st.prg:9996;1st.prg:9997;1st.prg:9998;1st.prg:9999;1st.prg:10053;1st.prg:10054;1st.prg:10055;1st.prg:10056;1st.prg:10057;1st.prg:10061;1st.prg:10065;1st.prg:10069;1st.prg:10073;1st.prg:10077;1st.prg:10081;1st.prg:10085;1st.prg:10133;1st.prg:10134;1st.prg:10135;1st.prg:10136,1st.prg:9978;1st.prg:9985;1st.prg:9994;1st.prg:10001;1st.prg:10051;1st.prg:10093;1st.prg:10131;1st.prg:10138,局部计算/临时变量,,低
AxisType,global int,1st.prg:11424,,通用控制变量,,中
B,global axisdef,1st.prg:11409,,通用控制变量,,中
BFM_StatusWord,unknown unknown,1st.prg:7248,1st.prg:7246;1st.prg:7247,通用控制变量,,中
Bit0,local int,1st.prg:6801;1st.prg:6858;1st.prg:6865;1st.prg:7180;1st.prg:7287;1st.prg:7345;1st.prg:7399;1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:6856;1st.prg:6863;1st.prg:7207;1st.prg:7339;1st.prg:7531;1st.prg:7554;1st.prg:7578,局部计算/临时变量,0,低
Bit1,local int,1st.prg:6801;1st.prg:6858;1st.prg:6865;1st.prg:7180;1st.prg:7287;1st.prg:7345;1st.prg:7399;1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:6857;1st.prg:6864;1st.prg:7208;1st.prg:7340;1st.prg:7532;1st.prg:7556;1st.prg:7580,局部计算/临时变量,1,低
Bit10,unknown unknown,1st.prg:7566,1st.prg:7565,通用控制变量,0,中
Bit11,unknown unknown,1st.prg:7247,1st.prg:7237;1st.prg:7240,通用控制变量,1,中
Bit2,unknown unknown,1st.prg:7287;1st.prg:7345;1st.prg:7399;1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:7209;1st.prg:7341;1st.prg:7533;1st.prg:7557;1st.prg:7581,通用控制变量,2,中
Bit3,unknown unknown,1st.prg:7246;1st.prg:7287;1st.prg:7345;1st.prg:7399;1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:7210;1st.prg:7228;1st.prg:7231;1st.prg:7342;1st.prg:7534;1st.prg:7558;1st.prg:7582,通用控制变量,3,中
Bit4,unknown unknown,1st.prg:7287;1st.prg:7345;1st.prg:7399;1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:7211;1st.prg:7343;1st.prg:7535;1st.prg:7559;1st.prg:7583,通用控制变量,4,中
Bit5,unknown unknown,1st.prg:7287;1st.prg:7345;1st.prg:7399;1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:7212;1st.prg:7344;1st.prg:7536;1st.prg:7560;1st.prg:7584,通用控制变量,5,中
Bit6,unknown unknown,1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:7537;1st.prg:7561;1st.prg:7585,通用控制变量,6,中
Bit7,unknown unknown,1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:7538;1st.prg:7562;1st.prg:7588;1st.prg:7590;1st.prg:7593,通用控制变量,7,中
Bit8,unknown unknown,1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:7539;1st.prg:7563;1st.prg:7596,通用控制变量,,中
Bit9,unknown unknown,1st.prg:7542;1st.prg:7566;1st.prg:7599,1st.prg:7540;1st.prg:7564;1st.prg:7597,通用控制变量,,中
Buffer11Needed,local int,1st.prg:8839;1st.prg:9951,1st.prg:8916;1st.prg:9387,局部计算/临时变量,,低
Buffer11RunningFlag,unknown unknown,1st.prg:9951,1st.prg:9941,通用控制变量,,中
Buffer16RunningFlag,unknown unknown,,1st.prg:9942,通用控制变量,,中
Buffer17Needed,local int,1st.prg:8839;1st.prg:9957,1st.prg:8917;1st.prg:9371;1st.prg:9388,局部计算/临时变量,,低
Buffer17RunningFlag,unknown unknown,1st.prg:9957,1st.prg:9943,通用控制变量,,中
C,global axisdef,1st.prg:1452;1st.prg:11409,,通用控制变量,,中
C2M_CAR2_DOWN,global int,1st.prg:6792,1st.prg:6846,通用控制变量,,中
C2M_CAR2_UP,global int,1st.prg:6792,1st.prg:6845,通用控制变量,,中
C2M_CAR_DOWN,global int,1st.prg:6792,1st.prg:6843,通用控制变量,,中
C2M_CAR_UP,global int,1st.prg:6792,1st.prg:6842,通用控制变量,,中
C2M_OkToMoveCAR,global int,1st.prg:6792;1st.prg:10847;1st.prg:10952,1st.prg:6841,通用控制变量,,中
C2M_OkToMoveCAR2,global int,1st.prg:6792;1st.prg:10847;1st.prg:10952,1st.prg:6844,通用控制变量,2,中
CARHM0,global real tag 1005,1st.prg:11493,,通用控制变量,0,中
CARHM1,global int tag 1205,1st.prg:11575,1st.prg:9795,通用控制变量,1,中
CARHM2,global int tag 1105,1st.prg:11534,1st.prg:9796,通用控制变量,2,中
CARHM4,global int tag 1405,1st.prg:11655,1st.prg:9794,通用控制变量,4,中
CARZ_AxisNum,global int,1st.prg:7362;1st.prg:7596;1st.prg:7597;1st.prg:8862;1st.prg:10847;1st.prg:10952,1st.prg:9100,通用控制变量,,中
CARZ_PM2_AxisNum,global int,1st.prg:6791;1st.prg:6863;1st.prg:6864;1st.prg:8862;1st.prg:10847;1st.prg:10952,1st.prg:9112,通用控制变量,,中
CARZ_PM2_StatusWord,global int,1st.prg:6793;1st.prg:6866,1st.prg:6865,通用控制变量,,中
CARZ_PM_AxisNum,global int,1st.prg:6791;1st.prg:6856;1st.prg:6857;1st.prg:8862;1st.prg:10847;1st.prg:10952,1st.prg:9107,通用控制变量,,中
CARZ_PM_StatusWord,global int,1st.prg:6793;1st.prg:6859,1st.prg:6858,通用控制变量,,中
CARZ_StatusWord,global int,1st.prg:7400;1st.prg:7600,1st.prg:7599,通用控制变量,,中
CERRA,unknown unknown,,1st.prg:777;1st.prg:1424,故障/错误阈值或报警状态,,中
CERRI,unknown unknown,1st.prg:46;1st.prg:744;1st.prg:1963;1st.prg:2656;1st.prg:3349;1st.prg:4042;1st.prg:4735;1st.prg:5428;1st.prg:10703;1st.prg:10705,1st.prg:44;1st.prg:223;1st.prg:249;1st.prg:549;1st.prg:742;1st.prg:775;1st.prg:830;1st.prg:856;1st.prg:1156;1st.prg:1350;1st.prg:1422;1st.prg:1961;1st.prg:2140;1st.prg:2166;1st.prg:2466;1st.prg:2654;1st.prg:2833;1st.prg:2859;1st.prg:3159;1st.prg:3347;1st.prg:3526;1st.prg:3552;1st.prg:3852;1st.prg:4040;1st.prg:4219;1st.prg:4245;1st.prg:4545;1st.prg:4733;1st.prg:4912;1st.prg:4938;1st.prg:5238;1st.prg:5426;1st.prg:5605;1st.prg:5631;1st.prg:5931;1st.prg:10716;1st.prg:10717;1st.prg:10773;1st.prg:10774;1st.prg:10816;1st.prg:10818,故障/错误阈值或报警状态,,中
CERRV,unknown unknown,1st.prg:47;1st.prg:745;1st.prg:1964;1st.prg:2657;1st.prg:3350;1st.prg:4043;1st.prg:4736;1st.prg:5429;1st.prg:10704;1st.prg:10706,1st.prg:45;1st.prg:224;1st.prg:248;1st.prg:548;1st.prg:743;1st.prg:776;1st.prg:831;1st.prg:855;1st.prg:1155;1st.prg:1349;1st.prg:1423;1st.prg:1962;1st.prg:2141;1st.prg:2165;1st.prg:2465;1st.prg:2655;1st.prg:2834;1st.prg:2858;1st.prg:3158;1st.prg:3348;1st.prg:3527;1st.prg:3551;1st.prg:3851;1st.prg:4041;1st.prg:4220;1st.prg:4244;1st.prg:4544;1st.prg:4734;1st.prg:4913;1st.prg:4937;1st.prg:5237;1st.prg:5427;1st.prg:5606;1st.prg:5630;1st.prg:5930;1st.prg:10718;1st.prg:10719;1st.prg:10775;1st.prg:10776;1st.prg:10817;1st.prg:10819,故障/错误阈值或报警状态,,中
CHARGEVOLUME_SP,global int,1st.prg:6127;1st.prg:6475;1st.prg:6477;1st.prg:6614,1st.prg:6655,设定值/目标位置,,高
CONID,unknown unknown,,1st.prg:8985,通用控制变量,,中
CONTROLLERMODELNUM,global int,1st.prg:8255;1st.prg:8266;1st.prg:8295;1st.prg:8333;1st.prg:8339;1st.prg:8720;1st.prg:8934;1st.prg:8986;1st.prg:9130;1st.prg:9881;1st.prg:9900;1st.prg:10544;1st.prg:10809;1st.prg:11420,1st.prg:8931,通用控制变量,,中
ChargeVolumeSP,global real tag 1829,1st.prg:6655;1st.prg:11822,1st.prg:6547,设定值/目标位置,,高
CmdThreshold,local real,1st.prg:7834;1st.prg:7891;1st.prg:7906;1st.prg:7922;1st.prg:7937,1st.prg:7837,局部计算/临时变量,,低
CmdWindowTimeLength,local real,1st.prg:7836;1st.prg:7892;1st.prg:7907;1st.prg:7923;1st.prg:7938,1st.prg:7840,局部计算/临时变量,,低
CommandWord,global int tag 1826,1st.prg:6659;1st.prg:6660;1st.prg:6661;1st.prg:6662;1st.prg:6666;1st.prg:11810,,通用控制变量,,中
CommandWord.0,special bit,1st.prg:6580;1st.prg:6659,1st.prg:6580,通用控制变量,0,中
CommandWord.1,special bit,1st.prg:6581;1st.prg:6660,1st.prg:6581,通用控制变量,1,中
CommandWord.2,special bit,1st.prg:6582;1st.prg:6661,1st.prg:6582,通用控制变量,2,中
CommandWord.3,special bit,1st.prg:6583;1st.prg:6662,1st.prg:6583,通用控制变量,3,中
CommandWord.4,special bit,1st.prg:6666,,通用控制变量,4,中
ConditionsOkForFeedON,local int,1st.prg:6635;1st.prg:6660,1st.prg:6650,局部计算/临时变量,,低
ConditionsOkForPogON,local int,1st.prg:6635;1st.prg:6659,1st.prg:6649,局部计算/临时变量,,低
ControlProcessState0,global int tag 1021,1st.prg:11509,1st.prg:9927,通用控制变量,0,中
ControlProcessState1,global int tag 1221,1st.prg:1817;1st.prg:1835;1st.prg:1852;1st.prg:1863;1st.prg:1874;1st.prg:1886;1st.prg:11591,1st.prg:734;1st.prg:1528;1st.prg:1538;1st.prg:1570;1st.prg:1607;1st.prg:1646;1st.prg:1664;1st.prg:1680;1st.prg:1781;1st.prg:1791;1st.prg:1818;1st.prg:1821;1st.prg:1836;1st.prg:1839;1st.prg:1855;1st.prg:1866;1st.prg:1876;1st.prg:1889;1st.prg:9928,通用控制变量,1,中
ControlProcessState2,global int tag 1121,1st.prg:11550,1st.prg:9929,通用控制变量,2,中
ControlProcessState3,global int tag 1321,1st.prg:11631,1st.prg:9930,通用控制变量,3,中
ControlProcessState4,global int tag 1421,1st.prg:11671,1st.prg:9931,通用控制变量,4,中
ControlProcessState5,global int tag 1621,1st.prg:11749,1st.prg:9932,通用控制变量,5,中
ControlProcessState6,global int tag 1521,1st.prg:11710,1st.prg:9933,通用控制变量,6,中
ControlProcessState7,global int tag 1721,1st.prg:11788,1st.prg:9934,通用控制变量,7,中
D,global axisdef,1st.prg:11409,,通用控制变量,,中
DCOM,unknown unknown,1st.prg:189;1st.prg:195;1st.prg:201;1st.prg:2033;1st.prg:2106;1st.prg:2112;1st.prg:2118;1st.prg:2726;1st.prg:2799;1st.prg:2805;1st.prg:2811;1st.prg:3419;1st.prg:3492;1st.prg:3498;1st.prg:3504;1st.prg:4112;1st.prg:4185;1st.prg:4191;1st.prg:4197;1st.prg:4805;1st.prg:4878;1st.prg:4884;1st.prg:4890;1st.prg:5498;1st.prg:5571;1st.prg:5577;1st.prg:5583;1st.prg:8144;1st.prg:8178;1st.prg:8184;1st.prg:8190,1st.prg:117;1st.prg:133;1st.prg:2034;1st.prg:2050;1st.prg:2727;1st.prg:2743;1st.prg:3420;1st.prg:3436;1st.prg:4113;1st.prg:4129;1st.prg:4806;1st.prg:4822;1st.prg:5499;1st.prg:5515;1st.prg:8145;1st.prg:8161,通用控制变量,,中
DEC,unknown unknown,1st.prg:1988;1st.prg:2020;1st.prg:2681;1st.prg:2713;1st.prg:3374;1st.prg:3406;1st.prg:4067;1st.prg:4099;1st.prg:4760;1st.prg:4792;1st.prg:5453;1st.prg:5485;1st.prg:8616;1st.prg:8725;1st.prg:8749;1st.prg:9160;1st.prg:9170;1st.prg:9180;1st.prg:9189;1st.prg:9200;1st.prg:9208;1st.prg:9441;1st.prg:9451;1st.prg:9461;1st.prg:9471,1st.prg:143;1st.prg:1427;1st.prg:2060;1st.prg:2753;1st.prg:3446;1st.prg:4139;1st.prg:4832;1st.prg:5525;1st.prg:8383;1st.prg:8384;1st.prg:8394;1st.prg:8395;1st.prg:8504;1st.prg:8505;1st.prg:9159;1st.prg:9169;1st.prg:9179;1st.prg:9188;1st.prg:9199;1st.prg:9207,运动参数/速度曲线,,高
DINPUT0,global int tag 1003,1st.prg:7465;1st.prg:8296;1st.prg:8299;1st.prg:9477;1st.prg:11491,,IO 信号,0,中
DINPUT0.0,special bit,1st.prg:9799;1st.prg:9801,1st.prg:9799;1st.prg:9801,IO 信号,0,中
DINPUT0.1,special bit,1st.prg:9756;1st.prg:9775,1st.prg:9756;1st.prg:9775,IO 信号,1,中
DINPUT0.10,special bit,1st.prg:9879,1st.prg:9879,IO 信号,0,中
DINPUT0.3,special bit,1st.prg:9849,1st.prg:9849,IO 信号,3,中
DINPUT0.4,special bit,1st.prg:9901;1st.prg:9906;1st.prg:9912,1st.prg:9901;1st.prg:9906;1st.prg:9912,IO 信号,4,中
DINPUT0.5,special bit,1st.prg:8296;1st.prg:8299;1st.prg:8307;1st.prg:9477;1st.prg:9478,1st.prg:8307;1st.prg:9478,IO 信号,5,中
DINPUT0.8,special bit,1st.prg:9858,1st.prg:9858,IO 信号,,中
DINPUT0.9,special bit,1st.prg:7465;1st.prg:9868;1st.prg:9870,1st.prg:9868;1st.prg:9870,IO 信号,,中
DINPUT1,global int tag 1203,1st.prg:11573,,IO 信号,1,中
DINPUT1.0,special bit,1st.prg:9805;1st.prg:9807;1st.prg:9810,1st.prg:9805;1st.prg:9807;1st.prg:9810,IO 信号,0,中
DINPUT1.1,special bit,1st.prg:9758;1st.prg:9777,1st.prg:9758;1st.prg:9777,IO 信号,1,中
DINPUT1.10,special bit,1st.prg:9882;1st.prg:9885;1st.prg:9889,1st.prg:9882;1st.prg:9885;1st.prg:9889,IO 信号,0,中
DINPUT1.3,special bit,1st.prg:9850,1st.prg:9850,IO 信号,3,中
DINPUT1.4,special bit,1st.prg:9902;1st.prg:9907;1st.prg:9913,1st.prg:9902;1st.prg:9907;1st.prg:9913,IO 信号,4,中
DINPUT1.6,special bit,1st.prg:9923,1st.prg:9923,IO 信号,6,中
DINPUT1.7,special bit,1st.prg:9808,1st.prg:9808,IO 信号,7,中
DINPUT1.8,special bit,1st.prg:9859,1st.prg:9859,IO 信号,,中
DINPUT2,global int tag 1103,1st.prg:11532,,IO 信号,2,中
DINPUT2.0,special bit,1st.prg:9813;1st.prg:9815,1st.prg:9813;1st.prg:9815,IO 信号,0,中
DINPUT2.1,special bit,1st.prg:9760;1st.prg:9779,1st.prg:9760;1st.prg:9779,IO 信号,1,中
DINPUT2.10,special bit,1st.prg:9883;1st.prg:9886;1st.prg:9890;1st.prg:9909,1st.prg:9883;1st.prg:9886;1st.prg:9890;1st.prg:9909,IO 信号,0,中
DINPUT2.2,special bit,1st.prg:9752,1st.prg:9752,IO 信号,2,中
DINPUT2.3,special bit,1st.prg:9851,1st.prg:9851,IO 信号,3,中
DINPUT2.4,special bit,1st.prg:9903;1st.prg:9908;1st.prg:9914,1st.prg:9903;1st.prg:9908;1st.prg:9914,IO 信号,4,中
DINPUT2.8,special bit,1st.prg:9860,1st.prg:9860,IO 信号,,中
DINPUT3,global int tag 1303,1st.prg:11614,,IO 信号,3,中
DINPUT3.0,special bit,1st.prg:9818;1st.prg:9822,1st.prg:9818;1st.prg:9822,IO 信号,0,中
DINPUT3.1,special bit,1st.prg:9762;1st.prg:9781,1st.prg:9762;1st.prg:9781,IO 信号,1,中
DINPUT3.10,special bit,1st.prg:9892,1st.prg:9892,IO 信号,0,中
DINPUT3.3,special bit,1st.prg:9852,1st.prg:9852,IO 信号,3,中
DINPUT3.4,special bit,1st.prg:9917,1st.prg:9917,IO 信号,4,中
DINPUT3.8,special bit,1st.prg:9861,1st.prg:9861,IO 信号,,中
DINPUT4,global int tag 1403,1st.prg:11653,,IO 信号,4,中
DINPUT4.0,special bit,1st.prg:9825;1st.prg:9827,1st.prg:9825;1st.prg:9827,IO 信号,0,中
DINPUT4.1,special bit,1st.prg:9764;1st.prg:9783,1st.prg:9764;1st.prg:9783,IO 信号,1,中
DINPUT4.10,special bit,1st.prg:9893,1st.prg:9893,IO 信号,0,中
DINPUT4.3,special bit,1st.prg:9853,1st.prg:9853,IO 信号,3,中
DINPUT4.4,special bit,1st.prg:9918,1st.prg:9918,IO 信号,4,中
DINPUT4.8,special bit,1st.prg:9862,1st.prg:9862,IO 信号,,中
DINPUT5,global int tag 1603,1st.prg:11732,,IO 信号,5,中
DINPUT5.0,special bit,1st.prg:9830;1st.prg:9832,1st.prg:9830;1st.prg:9832,IO 信号,0,中
DINPUT5.1,special bit,1st.prg:9766;1st.prg:9785,1st.prg:9766;1st.prg:9785,IO 信号,1,中
DINPUT5.10,special bit,1st.prg:9894,1st.prg:9894,IO 信号,0,中
DINPUT5.3,special bit,1st.prg:9854,1st.prg:9854,IO 信号,3,中
DINPUT5.4,special bit,1st.prg:9919,1st.prg:9919,IO 信号,4,中
DINPUT5.8,special bit,1st.prg:9863,1st.prg:9863,IO 信号,,中
DINPUT6,global int tag 1503,1st.prg:11693,,IO 信号,6,中
DINPUT6.0,special bit,1st.prg:9835;1st.prg:9837,1st.prg:9835;1st.prg:9837,IO 信号,0,中
DINPUT6.1,special bit,1st.prg:9768;1st.prg:9787,1st.prg:9768;1st.prg:9787,IO 信号,1,中
DINPUT6.10,special bit,1st.prg:9895,1st.prg:9895,IO 信号,0,中
DINPUT6.3,special bit,1st.prg:9855,1st.prg:9855,IO 信号,3,中
DINPUT6.4,special bit,1st.prg:9920,1st.prg:9920,IO 信号,4,中
DINPUT6.8,special bit,1st.prg:9864,1st.prg:9864,IO 信号,,中
DINPUT7,global int tag 1703,1st.prg:11771,,IO 信号,7,中
DINPUT7.0,special bit,1st.prg:9840;1st.prg:9842,1st.prg:9840;1st.prg:9842,IO 信号,0,中
DINPUT7.1,special bit,1st.prg:9770;1st.prg:9789,1st.prg:9770;1st.prg:9789,IO 信号,1,中
DINPUT7.10,special bit,1st.prg:9896,1st.prg:9896,IO 信号,0,中
DINPUT7.3,special bit,1st.prg:9856,1st.prg:9856,IO 信号,3,中
DINPUT7.4,special bit,1st.prg:9921,1st.prg:9921,IO 信号,4,中
DINPUT7.8,special bit,1st.prg:9865,1st.prg:9865,IO 信号,,中
Datalog,global real,1st.prg:21;1st.prg:611;1st.prg:617;1st.prg:618;1st.prg:628;1st.prg:630;1st.prg:719;1st.prg:1218;1st.prg:1224;1st.prg:1225;1st.prg:1235;1st.prg:1237;1st.prg:1938;1st.prg:2528;1st.prg:2534;1st.prg:2535;1st.prg:2545;1st.prg:2547;1st.prg:2631;1st.prg:3221;1st.prg:3227;1st.prg:3228;1st.prg:3238;1st.prg:3240;1st.prg:3324;1st.prg:3914;1st.prg:3920;1st.prg:3921;1st.prg:3931;1st.prg:3933;1st.prg:4017;1st.prg:4607;1st.prg:4613;1st.prg:4614;1st.prg:4624;1st.prg:4626;1st.prg:4710;1st.prg:5300;1st.prg:5306;1st.prg:5307;1st.prg:5317;1st.prg:5319;1st.prg:5403;1st.prg:5993;1st.prg:5999;1st.prg:6000;1st.prg:6010;1st.prg:6012,,通用控制变量,,中
